"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"167";"A10001";"Favorite";2711;2711;333;NA;8,14;0;0;2711;100;31,5779664768028;"KW05.xlsx";2016
"168";"A10002";"Green";1851;1851;232;NA;7,98;0;0;1851;100;21,560610825733;"KW05.xlsx";2016
"169";"A10005";"Menu Suppe";14,5;14,5;9;NA;1,61;0;0;14,5;100;0,168897275512225;"KW05.xlsx";2016
"170";"A10006";"Menu Salat";275;275;156;NA;1,76;0;0;275;100;3,20322419074909;"KW05.xlsx";2016
"171";"A10007";"Senf Mayo Ketschup";3;3;6;NA;0,5;0;0;3;100;0,034944263899081;"KW05.xlsx";2016
"172";"A10011";"Kitchen 1";137;137;14;NA;9,79;0;0;137;100;1,59578805139136;"KW05.xlsx";2016
"173";"A10012";"Kitchen 2";406;406;37;NA;10,97;0;0;406;100;4,72912371434229;"KW05.xlsx";2016
"174";"A10013";"Kitchen 3";237;237;20;NA;11,85;0;0;237;100;2,7605968480274;"KW05.xlsx";2016
"175";"A10014";"Kitchen 4";1199;1199;75;NA;15,99;0;0;1199;100;13,966057471666;"KW05.xlsx";2016
"176";"A10020";"Local 0";1151;1151;139;NA;8,28;0;0;1151;100;13,4069492492807;"KW05.xlsx";2016
"177";"A10040";"Garden";343;343;43;14,912;23;0;0;343;100;3,99529417246159;"KW05.xlsx";2016
"178";"A10061";"Frucht -.80";0,8;0,8;1;NA;0,8;0;0;0,8;100;0,00931847037308826;"KW05.xlsx";2016
"179";"A10063";"Frucht 1.00";3;3;3;NA;1;0;0;3;100;0,034944263899081;"KW05.xlsx";2016
"180";"A10101";"Ragusa-Gipfel ";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,0838662333577943;"KW05.xlsx";2016
"181";"A10103";"Vanille-Gipfel";12,5;12,5;5;NA;2,5;0;0;12,5;100;0,145601099579504;"KW05.xlsx";2016
"182";"A10112";"Maisbrötli";1,7;1,7;1;NA;1,7;0;0;1,7;100;0,0198017495428125;"KW05.xlsx";2016
"183";"A10114";"Fitnessbrötli ";3,4;3,4;2;NA;1,7;0;0;3,4;100;0,0396034990856251;"KW05.xlsx";2016
"184";"A10120";"Mandelbrezel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0279554111192648;"KW05.xlsx";2016
"185";"A10121";"Mandelschnecke ";9,6;9,6;4;NA;2,4;0;0;9,6;100;0,111821644477059;"KW05.xlsx";2016
"186";"A10123";"Russenzöpfli";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0559108222385295;"KW05.xlsx";2016
"187";"A10124";"Kirschenstange";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0279554111192648;"KW05.xlsx";2016
"188";"A10126";"Apfel im Schlafrock";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0559108222385295;"KW05.xlsx";2016
"189";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0279554111192648;"KW05.xlsx";2016
"190";"A10128";"Aprikosenjalousie";5,8;5,8;2;NA;2,9;0;0;5,8;100;0,0675589102048899;"KW05.xlsx";2016
"191";"A10135";"Wähe";3,9;3,9;1;NA;3,9;0;0;3,9;100;0,0454275430688053;"KW05.xlsx";2016
"192";"A10136";"Muffin";6;6;2;NA;3;0;0;6;100;0,0698885277981619;"KW05.xlsx";2016
"193";"A10143";"Trockengebäck Lyner verpackt";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0279554111192648;"KW05.xlsx";2016
"194";"A10144";"Trockengebäck 100g verpackt";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0256257935259927;"KW05.xlsx";2016
"195";"A10148";"Fruchttörtli";10,1;10,1;4;NA;2,53;0;0;10,1;100;0,117645688460239;"KW05.xlsx";2016
"196";"A10200";"Birchermüesli Classic";13,3;13,3;4;NA;3,33;0;0;13,3;100;0,154919569952592;"KW05.xlsx";2016
"197";"A10409";"Sandwich Appenzell";16,5;16,5;3;NA;5,5;0;0;16,5;100;0,192193451444945;"KW05.xlsx";2016
"198";"A10410";"Sandwich Milano";4;4;1;NA;4;0;0;4;100;0,0465923518654413;"KW05.xlsx";2016
"199";"A10411";"Sandwich Power Ham";12;12;3;NA;4;0;0;12;100;0,139777055596324;"KW05.xlsx";2016
"200";"A10414";"Sandwich Ham & Cheese";22;22;4;NA;5,5;0;0;22;100;0,256257935259927;"KW05.xlsx";2016
"201";"A10430";"Bagel Sandwich Fisherman's Catch";11;11;2;NA;5,5;0;0;11;100;0,128128967629964;"KW05.xlsx";2016
"202";"A10431";"Bagel Sandwich The French";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,0640644838149818;"KW05.xlsx";2016
